codingsfilename TN5 FP5 FN5 TP5 A5 B5 UN5 TN3 FP3 FN3 TP3 A3 B3 code 
./models/lengths_1000-1000_5-1000.txt 1062 0 72 0 0.0 1.0 0 -190 1264 2 58 1.1769087523277468 0.03333333333333333 hard_length_3
./models/lengths_1000-1000_10-1000.txt 1062 0 72 0 0.0 1.0 0 280 794 2 58 0.7392923649906891 0.03333333333333333 hard_length_3
./models/lengths_1000-1000_11-1000.txt 1062 0 72 0 0.0 1.0 0 358 716 2 58 0.6666666666666666 0.03333333333333333 hard_length_3
./models/lengths_1000-1000_12-1000.txt 1062 0 72 0 0.0 1.0 0 444 627 4 59 0.5854341736694678 0.06349206349206349 hard_length_3
./models/lengths_1000-1000_13-1000.txt 1062 0 72 0 0.0 1.0 0 524 545 5 60 0.509822263797942 0.07692307692307693 hard_length_3
./models/lengths_1000-1000_14-1000.txt 1062 0 72 0 0.0 1.0 0 595 472 7 60 0.4423617619493908 0.1044776119402985 hard_length_3
./models/lengths_1000-1000_15-1000.txt 1062 0 72 0 0.0 1.0 0 685 382 9 58 0.3580131208997188 0.13432835820895522 hard_length_3
./models/lengths_1000-1000_16-1000.txt 1062 0 72 0 0.0 1.0 0 764 304 11 55 0.2846441947565543 0.16666666666666666 hard_length_3
./models/lengths_1000-1000_17-1000.txt 1062 0 72 0 0.0 1.0 0 827 241 11 55 0.22565543071161048 0.16666666666666666 hard_length_3
./models/lengths_1000-1000_18-1000.txt 1062 0 72 0 0.0 1.0 0 874 194 13 53 0.18164794007490637 0.19696969696969696 hard_length_3
./models/lengths_1000-1000_19-1000.txt 1062 0 72 0 0.0 1.0 0 916 152 14 52 0.14232209737827714 0.21212121212121213 hard_length_3
./models/lengths_1000-1000_20-1000.txt 1062 0 72 0 0.0 1.0 0 956 111 15 52 0.10402999062792877 0.22388059701492538 hard_length_3
./models/lengths_1000-1000_21-1000.txt 1062 0 72 0 0.0 1.0 0 980 89 16 49 0.0832553788587465 0.24615384615384617 hard_length_3
./models/lengths_1000-1000_22-1000.txt 1062 0 72 0 0.0 1.0 0 996 73 16 49 0.06828811973807297 0.24615384615384617 hard_length_3
./models/lengths_1000-1000_23-1000.txt 1062 0 72 0 0.0 1.0 0 1005 64 16 49 0.05986903648269411 0.24615384615384617 hard_length_3
./models/lengths_1000-1000_24-1000.txt 1062 0 72 0 0.0 1.0 0 1020 49 17 48 0.04583723105706267 0.26153846153846155 hard_length_3
./models/lengths_1000-1000_25-1000.txt 1062 0 72 0 0.0 1.0 0 1030 38 19 47 0.035580524344569285 0.2878787878787879 hard_length_3
./models/lengths_1000-1000_30-1000.txt 1062 0 72 0 0.0 1.0 0 1054 15 20 45 0.01403180542563143 0.3076923076923077 hard_length_3
./models/lengths_1000-1000_35-1000.txt 1062 0 72 0 0.0 1.0 0 1067 3 24 40 0.002803738317757009 0.375 hard_length_3
./models/lengths_1000-1000_40-1000.txt 1062 0 72 0 0.0 1.0 0 1069 1 26 38 0.0009345794392523365 0.40625 hard_length_3
./models/lengths_1000-1000_45-1000.txt 1062 0 72 0 0.0 1.0 0 1069 1 27 37 0.0009345794392523365 0.421875 hard_length_3
./models/lengths_1000-1000_50-1000.txt 1062 0 72 0 0.0 1.0 0 1069 1 28 36 0.0009345794392523365 0.4375 hard_length_3
./models/lengths_1000-1000_55-1000.txt 1062 0 72 0 0.0 1.0 0 1069 1 28 36 0.0009345794392523365 0.4375 hard_length_3
./models/lengths_1000-1000_60-1000.txt 1062 0 72 0 0.0 1.0 0 1070 0 30 34 0.0 0.46875 hard_length_3
./models/lengths_1000-1000_65-1000.txt 1062 0 72 0 0.0 1.0 0 1071 0 31 32 0.0 0.49206349206349204 hard_length_3
./models/lengths_1000-1000_70-1000.txt 1062 0 72 0 0.0 1.0 0 1071 0 33 30 0.0 0.5238095238095238 hard_length_3
./models/lengths_1000-1000_75-1000.txt 1062 0 72 0 0.0 1.0 0 1071 0 35 28 0.0 0.5555555555555556 hard_length_3
./models/lengths_1000-1000_80-1000.txt 1062 0 72 0 0.0 1.0 0 1071 0 37 26 0.0 0.5873015873015873 hard_length_3
./models/lengths_1000-1000_85-1000.txt 1062 0 72 0 0.0 1.0 0 1071 0 40 23 0.0 0.6349206349206349 hard_length_3
./models/lengths_1000-1000_90-1000.txt 1062 0 72 0 0.0 1.0 0 1071 0 44 19 0.0 0.6984126984126984 hard_length_3
./models/lengths_1000-1000_95-1000.txt 1062 0 72 0 0.0 1.0 0 1071 0 45 18 0.0 0.7142857142857143 hard_length_3
