FP5now FP_length5 FP3now FP_length3 control_Reads control_length
0 0 1 54 183 363
0 0 1 60 763 1407
0 0 1 60 261 1095
0 0 1 93 608 750
0 0 1 72 721 897
0 0 1 51 58 312
0 0 1 57 1491 723
0 0 1 63 513 921
0 0 1 81 91 474
0 0 1 93 827 2112
0 0 1 57 6934 777
0 0 1 57 315 2532
0 0 1 63 335 951
0 0 1 60 276 1062
0 0 1 54 77 1074
0 0 1 51 43 663
0 0 1 57 3 330
0 0 1 51 852 1197
0 0 1 75 37 156
0 0 1 72 96 744
0 0 1 51 474 639
0 0 1 51 456 1326
0 0 1 57 14 930
0 0 1 51 52 1071
0 0 1 84 88 435
0 0 1 54 85 633
0 0 1 93 445 789
0 0 1 81 62 489
0 0 1 69 282 864
0 0 1 57 120 1545
0 0 1 54 224 1065
0 0 1 60 219 1380
0 0 1 57 572 915
0 0 1 54 123 558
0 0 1 54 138 540
0 0 1 54 292 489
0 0 1 60 184 1776
0 0 1 60 177 1794
0 0 1 63 41 870
0 0 1 90 327 774
0 0 1 51 142 1113
0 0 1 78 5 261
0 0 1 54 139 669
0 0 1 57 2 501
0 0 1 57 61 936
0 0 1 51 483 708
0 0 1 57 95 492
0 0 1 72 138 540
0 0 1 135 43 564
0 0 1 75 486 615
0 0 1 54 139 1524
0 0 1 51 333 1074
0 0 1 63 1153 1353
0 0 1 54 76 651
0 0 1 69 32 330
0 0 1 93 71 627
0 0 1 51 737 2901
0 0 1 66 1065 1482
0 0 1 57 70 987
0 0 1 75 39 246
0 0 1 78 886 1911
0 0 1 60 175 441
0 0 1 63 161 408
0 0 1 54 145 384
0 0 1 54 31 372
0 0 1 54 111 936
0 0 1 72 125 1071
0 0 1 51 9 276
0 0 1 87 22 654
0 0 1 57 243 729
0 0 1 60 231 1266
0 0 1 63 74 699
0 0 1 75 167 498
0 0 1 60 421 1875
0 0 1 81 631 1503
0 0 1 96 878 1185
0 0 1 90 260 480
0 0 1 72 43 1071
0 0 1 54 160 876
0 0 1 60 548 573
0 0 1 57 438 513
0 0 1 54 32 483
0 0 2 132 126 1230
0 0 1 60 205 1329
0 0 1 51 44 534
0 0 1 57 396 1770
0 0 1 54 573 672
0 0 1 51 76 741
0 0 1 54 278 1206
0 0 2 84 74 606
0 0 1 165 17 648
0 0 1 81 96 969
0 0 1 93 40 399
0 0 1 63 97 1140
0 0 1 63 26 1056
0 0 1 54 724 2001
0 0 1 51 806 1521
0 0 1 72 620 1542
0 0 1 57 136 990
0 0 1 57 175 1098
0 0 1 57 121 774
0 0 1 81 282 669
0 0 1 51 401 972
0 0 1 51 129 1047
0 0 1 57 260 888
0 0 1 63 153 1350
0 0 1 51 77 492
0 0 1 54 775 696
0 0 1 72 17 213
0 0 1 63 2330 1764
0 0 1 51 1699 1476
0 0 1 51 594 1692
0 0 1 54 194 2064
0 0 1 57 294 1263
0 0 1 63 4601 1164
0 0 1 69 40 414
0 0 1 51 221 1356
0 0 1 54 873 702
0 0 1 69 2136 978
0 0 1 72 8 303
0 0 1 57 653 1308
0 0 1 54 42 183
0 0 1 54 649 2346
0 0 1 54 3120 1383
0 0 1 66 40 471
0 0 1 66 188 1020
0 0 1 69 549 1359
0 0 1 75 361 1722
0 0 1 54 163 678
0 0 1 60 349 573
0 0 1 57 23 681
0 0 1 51 168 531
0 0 1 57 127 534
0 0 1 51 448 1242
0 0 1 51 898 2034
