FP5now FP_length5 FP3now FP_length3 control_Reads control_length
1 36 0 0 129 654
1 81 0 0 180 312
1 72 0 0 750 1353
1 75 0 0 56 378
1 90 0 0 256 1023
1 42 0 0 148 630
1 45 0 0 19 249
1 120 0 0 1441 636
1 189 0 0 456 753
1 51 0 0 353 1533
1 252 0 0 532 414
1 357 0 0 80 240
1 183 0 0 41 498
1 180 0 0 1 168
1 63 0 0 32 120
1 108 0 0 428 1986
1 69 0 0 57 612
1 459 0 0 132 282
1 42 0 0 62 411
1 150 0 0 815 840
1 81 0 0 598 1755
1 165 0 0 78 276
1 138 0 0 1852 864
1 78 0 0 88 993
1 282 0 0 119 225
1 63 0 0 749 957
1 114 0 0 79 315
1 66 0 0 267 1410
1 81 0 0 43 891
1 171 0 0 33 411
1 120 0 0 124 750
1 177 0 0 94 387
1 54 0 0 333 1047
1 183 0 0 165 465
1 84 0 0 784 1563
1 93 0 0 29 291
1 114 0 0 162 1089
1 180 0 0 104 477
1 33 0 0 885 1245
1 102 0 0 497 1473
1 210 0 0 404 3600
1 36 0 0 175 429
1 147 0 0 115 129
1 75 0 0 142 696
1 75 0 0 165 1710
1 66 0 0 3411 1674
1 81 0 0 965 1347
1 96 0 0 150 1839
1 207 0 0 223 540
1 270 0 0 377 567
1 378 0 0 520 1806
1 198 0 0 311 1056
1 180 0 0 30 309
1 156 0 0 113 666
1 102 0 0 0 168
1 108 0 0 54 282
1 210 0 0 428 669
1 297 0 0 294 351
1 102 0 0 82 903
1 48 0 0 59 990
1 120 0 0 1481 1599
1 114 0 0 373 1482
1 120 0 0 173 1386
1 591 0 0 51 660
1 66 0 0 976 753
1 144 0 0 49 486
1 69 0 0 79 333
1 135 0 0 264 594
1 78 0 0 95 1080
1 204 0 0 657 1839
1 207 0 0 119 1155
1 96 0 0 15 912
1 300 0 0 256 1428
1 144 0 0 688 726
1 171 0 0 22 348
1 108 0 0 144 1050
1 63 0 0 834 1110
1 96 0 0 508 864
1 216 0 0 319 2481
1 90 0 0 272 609
1 66 0 0 61 777
1 255 0 0 329 1086
1 234 0 0 200 381
1 54 0 0 329 663
1 105 0 0 4 126
1 204 0 0 490 999
1 198 0 0 0 138
1 66 0 0 32 660
1 39 0 0 300 1890
1 39 0 0 18 1299
1 162 0 0 281 1191
1 42 0 0 42 384
1 114 0 0 729 2178
1 60 0 0 85 405
1 144 0 0 214 1248
1 66 0 0 22 585
1 69 0 0 644 1260
1 510 0 0 1179 1374
1 204 0 0 0 3
1 168 0 0 31 411
1 78 0 0 1349 1626
1 66 0 0 65 1239
1 408 0 0 1528 1011
1 54 0 0 8 180
1 42 0 0 64 951
1 78 0 0 346 1662
1 75 0 0 2384 1323
1 72 0 0 117 1152
1 261 0 0 767 1791
1 471 0 0 122 678
1 66 0 0 442 1662
1 81 0 0 3090 1392
1 105 0 0 50 261
1 159 0 0 14 432
1 192 0 0 35 231
1 105 0 0 194 597
1 240 0 0 42 204
1 36 0 0 492 456
1 213 0 0 6 417
1 69 0 0 599 1101
1 168 0 0 454 2415
1 69 0 0 187 1050
1 51 0 0 681 1494
1 69 0 0 214 690
1 261 0 0 1011 984
1 144 0 0 82 801
1 120 0 0 10172 2325
1 78 0 0 278 1263
1 120 0 0 9 180
1 135 0 0 566 1203
1 48 0 0 23 159
1 48 0 0 55 672
1 333 0 0 302 597
1 219 0 0 395 1251
1 96 0 0 516 2700
1 99 0 0 141 897
1 66 0 0 113 963
1 48 0 0 1369 1014
1 66 0 0 755 1851
1 57 0 0 2581 1335
1 105 0 0 774 987
1 135 0 0 50 297
1 57 0 0 76 582
1 228 0 0 267 702
1 186 0 0 116 453
1 45 0 0 143 660
1 117 0 0 236 801
1 60 0 0 34 1182
1 87 0 0 253 1239
1 96 0 0 272 1449
1 162 0 0 119 648
1 177 0 0 564 1020
1 258 0 0 322 522
1 45 0 0 231 1317
1 69 0 0 263 882
1 231 0 0 487 264
1 177 0 0 74 633
1 198 0 0 90 603
1 105 0 0 229 735
1 51 0 0 100 387
1 69 0 0 792 696
1 144 0 0 538 237
1 48 0 0 789 768
1 117 0 0 53 1155
1 87 0 0 370 984
1 45 0 0 292 1140
1 51 0 0 1769 2658
1 264 0 0 2 39
1 51 0 0 578 1503
1 78 0 0 44 1080
1 246 0 0 188 405
1 189 0 0 42 165
1 99 0 0 21 360
1 36 0 0 342 1485
1 45 0 0 498 489
1 132 0 0 183 327
1 150 0 0 32 177
1 126 0 0 206 1029
1 480 0 0 72 672
1 120 0 0 7966 1938
1 87 0 0 44 792
1 51 0 0 1502 897
1 117 0 0 1143 1764
1 108 0 0 165 669
1 129 0 0 81 372
1 111 0 0 2150 1293
1 30 0 0 258 1674
