FP5now FP_length5 FP3now FP_length3 control_Reads control_length
0 0 1 45 129 672
0 0 1 54 183 363
0 0 2 30 763 1407
0 0 3 33 95 426
0 0 1 60 261 1095
0 0 2 27 404 780
0 0 1 24 148 639
0 0 1 21 45 810
0 0 1 93 608 750
0 0 3 30 721 897
0 0 1 48 275 1608
0 0 1 27 152 1335
0 0 1 33 14 303
0 0 1 36 279 762
0 0 2 15 30 405
0 0 1 42 77 1029
0 0 1 51 58 312
0 0 2 15 51 1254
0 0 1 57 1491 723
0 0 2 36 715 621
0 0 2 18 546 861
0 0 1 48 199 1239
0 0 1 30 830 3189
0 0 1 36 1988 1506
0 0 2 39 513 921
0 0 3 45 91 474
0 0 1 21 223 1659
0 0 1 30 355 1563
0 0 3 48 827 2112
0 0 1 57 6934 777
0 0 1 57 315 2532
0 0 2 21 652 648
0 0 1 45 142 567
0 0 3 33 335 951
0 0 2 33 276 1062
0 0 1 24 500 2148
0 0 1 24 152 735
0 0 1 27 192 876
0 0 1 21 134 1539
0 0 1 36 2010 1296
0 0 1 54 77 1074
0 0 1 18 158 1083
0 0 2 30 735 2238
0 0 1 51 43 663
0 0 2 24 3 330
0 0 2 36 852 1197
0 0 2 24 812 1329
0 0 1 39 159 969
0 0 2 42 37 156
0 0 2 27 96 744
0 0 1 51 474 639
0 0 1 39 430 2073
0 0 2 30 45 249
0 0 1 39 7 273
0 0 2 30 456 1326
0 0 2 27 906 1170
0 0 1 57 14 930
0 0 1 42 58 660
0 0 2 18 207 711
0 0 1 48 456 678
0 0 1 36 130 1089
0 0 1 15 37 1119
0 0 1 39 87 1425
0 0 1 51 52 1071
0 0 1 42 932 1731
0 0 4 30 136 1125
0 0 1 84 88 435
0 0 1 54 85 633
0 0 1 33 64 435
0 0 2 63 445 789
0 0 4 21 120 996
0 0 1 33 361 1068
0 0 1 36 81 255
0 0 1 81 62 489
0 0 1 27 281 753
0 0 1 36 200 675
0 0 1 45 834 945
0 0 2 48 602 1818
0 0 2 27 282 864
0 0 1 57 120 1545
0 0 1 54 224 1065
0 0 3 15 219 1380
0 0 2 30 572 915
0 0 4 81 123 558
0 0 1 18 86 420
0 0 1 45 1899 969
0 0 1 39 568 828
0 0 1 36 482 1065
0 0 1 54 138 540
0 0 1 33 95 468
0 0 1 54 292 489
0 0 1 42 769 990
0 0 1 48 292 1701
0 0 1 60 184 1776
0 0 1 45 83 405
0 0 2 15 671 1377
0 0 1 21 271 1431
0 0 1 60 177 1794
0 0 1 42 50 348
0 0 2 15 486 1056
0 0 1 30 953 1521
0 0 1 63 41 870
0 0 2 36 226 1494
0 0 3 33 327 774
0 0 2 21 198 474
0 0 1 48 8141 1329
