codingsfilename TN5 FP5 FN5 TP5 A5 B5 UN5 TN3 FP3 FN3 TP3 A3 B3 code 
./models/lengths_90-90_1000-1000.txt 1060 0 58 16 0.0 0.7837837837837838 0 1072 0 62 0 0.0 1.0 hard_length_5
./models/lengths_95-95_1000-1000.txt 1060 0 58 16 0.0 0.7837837837837838 0 1072 0 62 0 0.0 1.0 hard_length_5
./models/lengths_100-100_1000-1000.txt 1060 0 59 15 0.0 0.7972972972972973 0 1072 0 62 0 0.0 1.0 hard_length_5
./models/lengths_105-105_1000-1000.txt 1060 0 60 14 0.0 0.8108108108108109 0 1072 0 62 0 0.0 1.0 hard_length_5
./models/lengths_110-110_1000-1000.txt 1060 0 61 13 0.0 0.8243243243243243 0 1072 0 62 0 0.0 1.0 hard_length_5
./models/lengths_115-115_1000-1000.txt 1060 0 63 11 0.0 0.8513513513513513 0 1072 0 62 0 0.0 1.0 hard_length_5
./models/lengths_120-120_1000-1000.txt 1060 0 63 11 0.0 0.8513513513513513 0 1072 0 62 0 0.0 1.0 hard_length_5
./models/lengths_125-125_1000-1000.txt 1060 0 66 8 0.0 0.8918918918918919 0 1072 0 62 0 0.0 1.0 hard_length_5
./models/lengths_130-130_1000-1000.txt 1061 0 66 7 0.0 0.9041095890410958 0 1072 0 62 0 0.0 1.0 hard_length_5
./models/lengths_135-135_1000-1000.txt 1062 0 67 5 0.0 0.9305555555555556 0 1072 0 62 0 0.0 1.0 hard_length_5
./models/lengths_140-140_1000-1000.txt 1062 0 67 5 0.0 0.9305555555555556 0 1072 0 62 0 0.0 1.0 hard_length_5
./models/lengths_145-145_1000-1000.txt 1062 0 67 5 0.0 0.9305555555555556 0 1072 0 62 0 0.0 1.0 hard_length_5
./models/lengths_150-150_1000-1000.txt 1062 0 67 5 0.0 0.9305555555555556 0 1072 0 62 0 0.0 1.0 hard_length_5
./models/lengths_5-5_1000-1000.txt 871 187 3 73 0.1767485822306238 0.039473684210526314 19 1072 0 62 0 0.0 1.0 hard_length_5
./models/lengths_11-11_1000-1000.txt 1026 31 14 63 0.0293282876064333 0.18181818181818182 10 1072 0 62 0 0.0 1.0 hard_length_5
./models/lengths_12-12_1000-1000.txt 1040 17 14 63 0.01608325449385052 0.18181818181818182 7 1072 0 62 0 0.0 1.0 hard_length_5
./models/lengths_13-13_1000-1000.txt 1045 12 15 62 0.011352885525070956 0.19480519480519481 7 1072 0 62 0 0.0 1.0 hard_length_5
./models/lengths_14-14_1000-1000.txt 1048 9 15 62 0.008514664143803218 0.19480519480519481 6 1072 0 62 0 0.0 1.0 hard_length_5
./models/lengths_16-16_1000-1000.txt 1053 4 15 62 0.003784295175023652 0.19480519480519481 4 1072 0 62 0 0.0 1.0 hard_length_5
./models/lengths_17-17_1000-1000.txt 1053 4 15 62 0.003784295175023652 0.19480519480519481 4 1072 0 62 0 0.0 1.0 hard_length_5
./models/lengths_18-18_1000-1000.txt 1053 4 17 60 0.003784295175023652 0.22077922077922077 4 1072 0 62 0 0.0 1.0 hard_length_5
./models/lengths_19-19_1000-1000.txt 1054 3 17 60 0.002838221381267739 0.22077922077922077 4 1072 0 62 0 0.0 1.0 hard_length_5
./models/lengths_21-21_1000-1000.txt 1054 3 18 59 0.002838221381267739 0.23376623376623376 4 1072 0 62 0 0.0 1.0 hard_length_5
./models/lengths_22-22_1000-1000.txt 1055 2 19 58 0.001892147587511826 0.24675324675324675 4 1072 0 62 0 0.0 1.0 hard_length_5
./models/lengths_23-23_1000-1000.txt 1055 2 19 58 0.001892147587511826 0.24675324675324675 4 1072 0 62 0 0.0 1.0 hard_length_5
./models/lengths_24-24_1000-1000.txt 1055 2 19 58 0.001892147587511826 0.24675324675324675 3 1072 0 62 0 0.0 1.0 hard_length_5
./models/lengths_1000-1000_5-5.txt 1062 0 72 0 0.0 1.0 0 -89 1162 3 58 1.0829450139794967 0.04918032786885246 hard_length_3
./models/lengths_1000-1000_11-11.txt 1062 0 72 0 0.0 1.0 0 385 688 3 58 0.641192917054986 0.04918032786885246 hard_length_3
./models/lengths_1000-1000_12-12.txt 1062 0 72 0 0.0 1.0 0 465 605 5 59 0.5654205607476636 0.078125 hard_length_3
./models/lengths_1000-1000_13-13.txt 1062 0 72 0 0.0 1.0 0 542 527 5 60 0.4929840972871843 0.07692307692307693 hard_length_3
./models/lengths_1000-1000_14-14.txt 1062 0 72 0 0.0 1.0 0 610 457 7 60 0.42830365510777885 0.1044776119402985 hard_length_3
./models/lengths_1000-1000_16-16.txt 1062 0 72 0 0.0 1.0 0 772 296 11 55 0.27715355805243447 0.16666666666666666 hard_length_3
./models/lengths_1000-1000_17-17.txt 1062 0 72 0 0.0 1.0 0 833 235 11 55 0.2200374531835206 0.16666666666666666 hard_length_3
./models/lengths_1000-1000_18-18.txt 1062 0 72 0 0.0 1.0 0 879 189 13 53 0.17696629213483145 0.19696969696969696 hard_length_3
./models/lengths_1000-1000_19-19.txt 1062 0 72 0 0.0 1.0 0 920 148 14 52 0.13857677902621723 0.21212121212121213 hard_length_3
./models/lengths_1000-1000_21-21.txt 1062 0 72 0 0.0 1.0 0 983 86 16 49 0.08044901777362021 0.24615384615384617 hard_length_3
./models/lengths_1000-1000_22-22.txt 1062 0 72 0 0.0 1.0 0 999 70 16 49 0.06548175865294668 0.24615384615384617 hard_length_3
./models/lengths_1000-1000_23-23.txt 1062 0 72 0 0.0 1.0 0 1007 62 16 49 0.057998129092609915 0.24615384615384617 hard_length_3
./models/lengths_1000-1000_24-24.txt 1062 0 72 0 0.0 1.0 0 1022 47 17 48 0.04396632366697849 0.26153846153846155 hard_length_3
./models/lengths_25-25_15-1000.txt 1055 2 19 58 0.001892147587511826 0.24675324675324675 3 1072 0 62 0 0.0 1.0 soft_length_5
./models/lengths_25-30_15-1000.txt 1057 0 23 54 0.0 0.2987012987012987 1 1072 0 62 0 0.0 1.0 soft_length_5
./models/lengths_25-35_15-1000.txt 1058 0 27 49 0.0 0.35526315789473684 1 1072 0 62 0 0.0 1.0 soft_length_5
./models/lengths_25-40_15-1000.txt 1058 0 30 46 0.0 0.39473684210526316 1 1072 0 62 0 0.0 1.0 soft_length_5
./models/lengths_25-45_15-1000.txt 1059 0 32 43 0.0 0.4266666666666667 0 1072 0 62 0 0.0 1.0 soft_length_5
./models/lengths_25-50_15-1000.txt 1059 0 33 42 0.0 0.44 0 1072 0 62 0 0.0 1.0 soft_length_5
./models/lengths_25-55_15-1000.txt 1059 0 34 41 0.0 0.4533333333333333 0 1072 0 62 0 0.0 1.0 soft_length_5
./models/lengths_25-60_15-1000.txt 1059 0 37 38 0.0 0.49333333333333335 0 1072 0 62 0 0.0 1.0 soft_length_5
./models/lengths_25-65_15-1000.txt 1059 0 43 32 0.0 0.5733333333333334 0 1072 0 62 0 0.0 1.0 soft_length_5
./models/lengths_25-70_15-1000.txt 1059 0 48 27 0.0 0.64 0 1072 0 62 0 0.0 1.0 soft_length_5
./models/lengths_25-75_15-1000.txt 1059 0 51 24 0.0 0.68 0 1072 0 62 0 0.0 1.0 soft_length_5
./models/lengths_25-80_15-1000.txt 1059 0 53 22 0.0 0.7066666666666667 0 1072 0 62 0 0.0 1.0 soft_length_5
./models/lengths_25-85_15-1000.txt 1059 0 55 20 0.0 0.7333333333333333 0 1072 0 62 0 0.0 1.0 soft_length_5
./models/lengths_25-90_15-1000.txt 1060 0 58 16 0.0 0.7837837837837838 0 1072 0 62 0 0.0 1.0 soft_length_5
./models/lengths_25-95_15-1000.txt 1060 0 58 16 0.0 0.7837837837837838 0 1072 0 62 0 0.0 1.0 soft_length_5
./models/lengths_25-100_15-1000.txt 1060 0 59 15 0.0 0.7972972972972973 0 1072 0 62 0 0.0 1.0 soft_length_5
./models/lengths_25-105_15-1000.txt 1060 0 60 14 0.0 0.8108108108108109 0 1072 0 62 0 0.0 1.0 soft_length_5
./models/lengths_25-110_15-1000.txt 1060 0 61 13 0.0 0.8243243243243243 0 1072 0 62 0 0.0 1.0 soft_length_5
./models/lengths_25-115_15-1000.txt 1060 0 63 11 0.0 0.8513513513513513 0 1072 0 62 0 0.0 1.0 soft_length_5
./models/lengths_25-120_15-1000.txt 1060 0 63 11 0.0 0.8513513513513513 0 1072 0 62 0 0.0 1.0 soft_length_5
./models/lengths_25-125_15-1000.txt 1060 0 66 8 0.0 0.8918918918918919 0 1072 0 62 0 0.0 1.0 soft_length_5
